"","id","type","price","netHabitableSurface","landSurface","bedrooms","gemeente","postalCode","street","number","lat","lon","url","category"
"191",1952805,"HOUSE",229000,106,52,4,"Antwerpen","2140","Vercammenstraat","30",4.4383435332437,51.219712315324,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1952805",NA
"192",1775021,"HOUSE",269000,166,208,2,"Antwerpen","2170","Gasthuishoevestraat","62",4.4385876172511,51.237996111305,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1775021",NA
"193",1908212,"HOUSE",339000,120,83.622511380352,2,"Antwerpen","2600","Saffierstraat","120",4.4390088255167,51.194945851161,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1908212",NA
"194",1778477,"HOUSE",249000,165,53,3,"Antwerpen","2140","Gijselsstraat","1",4.4390317806024,51.218424980833,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1778477",NA
"195",1933511,"HOUSE",375000,170,91.099430581613,4,"Antwerpen","2060","Touwstraat","38",4.4392570197803,51.224305409167,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1933511",NA
"196",1769989,"HOUSE",445000,160,124.52244497836,3,"Antwerpen","2180","Frans standaertlei","49",4.4393048237427,51.29265248635,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1769989",NA
"197",2075305,"HOUSE",649000,232,1100,4,"Kapellen","2950","Reeboklaan","20",4.4396215480165,51.331338371868,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2075305",NA
"198",1933554,"HOUSE",315000,183,91,3,"Antwerpen","2060","Touwstraat","67",4.4401775818448,51.224046670051,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1933554",NA
"199",2082930,"HOUSE",399900,175,187,3,"Kontich","2550","Kongostraat","36",4.4404949356962,51.131829307767,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2082930",NA
"200",1833739,"HOUSE",259000,99,46,3,"Antwerpen","2140","Kortrijkstraat","66",4.4405051827974,51.221971915262,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1833739",NA
"201",1700742,"HOUSE",499000,402,173,10,"Antwerpen","2140","Appelstraat","45",4.4406351105197,51.212340150954,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1700742",NA
"202",1852831,"HOUSE",389000,164,128.33985874709,4,"Antwerpen","2180","Leo Vermandellei","15",4.440705741593,51.294318403994,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1852831",NA
"203",1928187,"HOUSE",268000,139,54,5,"Antwerpen","2140","Tabernakelstraat","1",4.4410500923803,51.215039769024,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1928187",NA
"204",1732727,"HOUSE",210000,115,42.511363441008,3,"Antwerpen","2140","Ceresstraat","13",4.4413915045566,51.219269124442,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1732727",NA
"205",1757464,"HOUSE",269000,138,96.45338194049,3,"Antwerpen","2170","Eigenheerdstraat","58",4.4424550247043,51.237692589032,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1757464","new"
"206",2082124,"HOUSE",275000,130,74,3,"Kontich","2550","Jordaensstraat","3",4.4425891985346,51.135581651225,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2082124",NA
"207",6184893,"HOUSE",607489,234,267,4,"Mechelen","2811","Bergenstraat","47",4.4425913492036,51.012221234354,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/6184893",NA
"208",1968667,"HOUSE",395000,206,134.36175059411,5,"Antwerpen","2170","Wuytslei","31",4.4427605960464,51.244462407393,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1968667",NA
"209",2319874,"HOUSE",375000,192,373,4,"Mechelen","2811","Leibeekstraat","12",4.4432378295812,51.014764267458,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2319874",NA
"210",1782504,"HOUSE",235000,140,69,4,"Antwerpen","2140","Gravinstraat","24",4.443277316162,51.215371579134,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1782504",NA
"211",1806181,"HOUSE",320000,147,45,5,"Antwerpen","2140","Jan de laetstraat","25",4.4446188177817,51.218103492707,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1806181",NA
"212",2094984,"HOUSE",341000,105,103.27739270427,2,"Mortsel","2640","Edegemsestraat","149",4.4446788815174,51.166712457353,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2094984",NA
"213",1958685,"HOUSE",280000,146,260,3,"Antwerpen","2170","Volkstuinlei","6",4.4447381442868,51.259814988277,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1958685",NA
